Pclass,Sex_encoded,Age,SibSp,Parch,Fare_log,Embarked_encoded,Titulo_encoded,Survived
3,1,22.0,1,0,2.1102132003465894,2,4,0
1,0,38.0,1,0,4.2805931204649,0,5,1
3,0,26.0,0,0,2.188856327665703,2,3,1
1,0,35.0,1,0,3.9908341858524357,2,5,1
3,1,35.0,0,0,2.2027647577118348,2,4,0
3,1,22.684,0,0,2.246892662898172,1,4,0
1,1,54.0,0,0,3.967694202798607,2,4,0
3,1,2.0,3,1,3.0944457464900235,2,1,0
3,0,27.0,0,2,2.495953738718064,2,5,1
2,0,14.0,1,0,3.436268471383741,0,5,1
3,0,4.0,1,1,2.8735646395797834,2,3,1
1,0,58.0,0,0,3.3160025355989236,2,3,1
3,1,20.0,0,0,2.2027647577118348,2,4,0
3,1,39.0,1,5,3.4742929367327062,2,4,0
3,0,14.0,0,0,2.180891922715322,2,3,0
2,0,55.0,0,0,2.833213344056216,2,5,1
3,1,2.0,4,1,3.405355391810819,1,1,0
2,1,26.6,0,0,2.6390573296152584,2,4,1
3,0,31.0,1,0,2.9444389791664403,2,5,0
3,0,26.4,0,0,2.1071782966514356,0,5,1
2,1,35.0,0,0,3.295836866004329,2,4,0
2,1,34.0,0,0,2.6390573296152584,2,4,1
3,0,15.0,0,0,2.2004637699272855,1,3,1
1,1,28.0,0,0,3.597312260588446,2,4,1
3,0,8.0,3,1,3.0944457464900235,2,3,0
3,0,38.0,1,5,3.4777725458882283,2,5,1
3,1,26.4,0,0,2.1071782966514356,0,4,0
1,1,19.0,3,2,5.575949103146316,2,4,0
3,0,29.0,0,0,2.1837114628556327,1,3,1
3,1,31.8,0,0,2.1855792552411137,2,4,0
1,1,40.0,0,0,3.357621598945279,0,6,0
1,0,21.584,1,0,4.993969182787072,0,5,1
3,0,34.4,0,0,2.169053700369523,1,3,1
2,1,65.0,0,0,2.4423470353692043,2,4,0
1,1,28.0,1,0,4.420896324687287,0,4,0
1,1,42.0,1,0,3.970291913552122,2,4,0
3,1,20.8,0,0,2.1076888046179385,0,4,1
3,1,21.0,0,0,2.2027647577118348,2,4,0
3,0,18.0,2,0,2.9444389791664403,2,3,0
3,0,14.0,1,0,2.5048481563289,0,3,1
3,0,40.0,1,0,2.348991465808201,2,5,0
2,0,27.0,1,0,3.091042453358316,2,5,0
3,1,31.8,0,0,2.1855792552411137,0,4,0
2,0,3.0,1,2,3.7513658711253766,0,3,1
